round,tick,weapon_name,is_headshot,penetration_amount,has_replay,is_flash_assist,is_through_smoke,is_attacker_blind,is_noscope,second,player_id_fixed,attacker_id_fixed,assister_id_fixed,player_x_pos,player_y_pos,player_z_pos,player_x_vel,player_y_vel,player_z_vel,player_phi_ang,player_theta_ang,player_weapon_code,player_team_code,attacker_x_pos,attacker_y_pos,attacker_z_pos,attacker_x_vel,attacker_y_vel,attacker_z_vel,attacker_phi_ang,attacker_theta_ang,attacker_weapon_code,attacker_team_code,assister_x_pos,assister_y_pos,assister_z_pos,assister_x_vel,assister_y_vel,assister_z_vel,assister_phi_ang,assister_theta_ang,assister_weapon_code,assister_team_code
7,37154,ssg08,False,0,False,0,0,0,0,580.53125,2,10,3,-314.1968994140625,405.2129211425781,-3.96368408203125,-207.09765625,-6.189453125,-1.42578125,97.56787109375,87.21942138671875,7,2,-282.79278564453125,1031.7655029296875,-53.9091796875,8.57421875,-0.2890625,0.0703125,83.84732055664062,-91.99573516845703,40,3,,,,,,,,,,
7,37470,ak47,True,0,False,0,0,0,0,585.46875,10,8,,-347.939208984375,980.3644409179688,-45.40447998046875,96.0234375,30.6875,34.33984375,84.97341918945312,-71.46297454833984,40,3,-173.768310546875,401.13409423828125,-1.58978271484375,58.76953125,17.017578125,0.828125,95.55496215820312,106.84786987304688,7,2,,,,,,,,,,
7,38639,mp7,False,0,False,0,0,0,0,603.734375,6,1,,1008.3028564453125,1043.1512451171875,0.022016048431396484,0.0,0.0,0.0,90.65986633300781,-89.97356414794922,7,2,1038.299072265625,442.7263488769531,5.801087856292725,-27.421875,-1.794921875,1.33245849609375,96.73291015625,93.40713500976562,33,3,,,,,,,,,,
7,38834,galilar,True,0,False,0,0,0,0,606.78125,1,4,,1204.3692626953125,548.0797729492188,8.662081718444824,40.1953125,47.53515625,0.111328125,93.49708557128906,140.37643432617188,33,3,679.4180297851562,958.283447265625,-0.2706298828125,36.859375,47.79296875,0.8828125,91.28196716308594,-39.252777099609375,13,2,,,,,,,,,,
7,39072,mp9,False,0,False,0,0,0,0,610.5,8,5,3,958.91455078125,745.6859130859375,8.577038764953613,63.95703125,-64.40625,1.77886962890625,92.20001220703125,52.120513916015625,7,2,1539.7203369140625,1483.0792236328125,1.0312480926513672,93.4140625,-177.703125,0.0,89.69718933105469,-129.52743530273438,34,3,,,,,,,,,,
7,39531,mp9,False,0,False,0,0,0,0,617.671875,4,5,1,578.6444091796875,1139.48291015625,1.48588228225708,5.0078125,5.84375,0.021942138671875,94.722412109375,-40.736968994140625,13,2,1112.775634765625,665.75390625,6.399822235107422,-78.0625,22.91796875,-2.562774658203125,94.03643798828125,137.735595703125,34,3,,,,,,,,,,
7,39751,ssg08,True,0,False,0,0,0,0,621.109375,9,7,,538.7429809570312,2077.718017578125,144.40625,116.453125,-2.953125,-103.0,97.61077880859375,-2.656280517578125,60,2,1760.15966796875,2012.9918212890625,3.288118839263916,0.0,0.0,0.0,83.34434509277344,177.0535888671875,40,3,,,,,,,,,,
8,42000,famas,True,0,False,0,0,0,0,656.25,2,3,,-1565.56201171875,1116.8072509765625,34.73805618286133,-0.1015625,74.2109375,-1.8583984375,101.09001159667969,0.416107177734375,4,2,-1098.6309814453125,1136.0306396484375,-41.92999267578125,6.203125,-85.3125,22.53125,82.68722534179688,-175.90106201171875,10,3,,,,,,,,,,
8,42102,p90,False,0,False,0,0,0,0,657.84375,3,9,6,-1127.8992919921875,1149.9736328125,-36.39385986328125,-6.84375,70.2421875,-25.359375,89.15509033203125,-173.04977416992188,10,3,-1565.2171630859375,1097.77880859375,35.2202033996582,16.484375,20.90625,-0.227294921875,108.39797973632812,7.745361328125,19,2,-1951.32861328125,1133.5748291015625,33.01377487182617,0.0,0.0,0.0,94.4439697265625,-0.23724365234375,7,2
8,44119,ak47,True,0,False,0,0,0,0,689.359375,10,6,,-1898.903564453125,2561.846923828125,32.45917892456055,127.0625,-9.5,13.571044921875,90.23895263671875,-94.42508697509766,40,3,-2032.33544921875,1127.7989501953125,36.25421905517578,-61.8359375,5.2890625,3.0224609375,91.89205932617188,85.43072509765625,7,2,,,,,,,,,,
8,44276,p90,True,0,False,0,0,0,0,691.8125,4,1,,-1640.2640380859375,982.7211303710938,31.21278953552246,26.0859375,2.8046875,2.6484375,85.04173278808594,-84.10652160644531,13,2,-1573.83447265625,-272.6790771484375,128.41737365722656,-197.28125,-14.3125,-1.5361328125,95.28579711914062,93.31304931640625,19,3,,,,,,,,,,
8,44769,ssg08,False,0,False,0,0,0,0,699.515625,9,7,3,-1964.4630126953125,1299.4803466796875,29.672386169433594,136.0390625,-143.484375,6.183837890625,92.471923828125,98.33587646484375,10,2,-2066.337646484375,2138.23779296875,0.7940893173217773,0.0,0.0,0.0,89.08676147460938,-83.80302429199219,40,3,,,,,,,,,,
8,45434,ak47,False,0,False,0,0,0,0,709.90625,7,6,,-1980.3592529296875,1299.09521484375,29.736549377441406,6.9921875,50.0390625,-1.427734375,146.4086151123047,27.186355590820312,40,3,-1439.2813720703125,1125.8345947265625,35.29909133911133,0.0,0.0,0.0,91.89205932617188,163.19229125976562,7,2,,,,,,,,,,
